StreamLen	Trials	NumDistinct	EpsTotalWeight	p0.00135	p0.02275	p0.15866	p0.50	p0.84134	p0.97725	p0.99865	BoundViolationRate
4096	135	1126.9	40.93	0.0000	0.0000	1.0000	3.0000	6.0000	11.0000	18.0000	0.00013804
4277	133	1158.8	42.74	0.0000	0.0000	1.0000	3.0000	6.0000	11.0000	16.0000	0.00017518
4467	130	1193.9	44.64	0.0000	0.0000	2.0000	4.0000	6.0000	11.0000	21.0000	0.00018041
4664	128	1235.4	46.61	0.0000	0.0000	2.0000	4.0000	7.0000	12.0000	34.0000	0.00016442
4871	126	1267.4	48.68	0.0000	0.0000	2.0000	4.0000	7.0000	13.0000	33.0000	0.00012524
5087	123	1309.1	50.84	0.0000	1.0000	2.0000	4.0000	7.0000	12.0000	30.0000	0.00014905
5312	121	1344.6	53.09	0.0000	1.0000	2.0000	4.0000	8.0000	13.0000	95.0000	0.00015366
5547	119	1386.5	55.43	0.0000	1.0000	2.0000	5.0000	8.0000	14.0000	26.0000	0.00013334
5793	117	1432.8	57.89	0.0000	1.0000	2.0000	5.0000	8.0000	14.0000	20.0000	0.00012527
6049	115	1475.0	60.45	0.0000	1.0000	3.0000	5.0000	9.0000	16.0000	30.0000	0.00015328
6317	113	1517.1	63.13	0.0000	1.0000	3.0000	5.0000	9.0000	15.0000	37.0000	0.00015750
6597	111	1562.2	65.93	0.0000	1.0000	3.0000	6.0000	9.0000	17.0000	26.0000	0.00014994
6889	109	1612.5	68.85	0.0000	1.0000	3.0000	6.0000	10.0000	17.0000	61.0000	0.00010241
7194	107	1658.6	71.89	0.0000	1.0000	3.0000	6.0000	10.0000	18.0000	29.0000	0.00012960
7512	105	1709.0	75.07	0.0000	1.0000	3.0000	6.0000	11.0000	19.0000	63.0000	0.00013932
7845	103	1766.0	78.40	0.0000	1.0000	4.0000	7.0000	11.0000	20.0000	32.0000	0.00011545
8192	101	1810.7	81.87	0.0000	2.0000	4.0000	7.0000	12.0000	20.0000	28.0000	0.00013670
8555	99	1861.9	85.50	0.0000	1.0000	4.0000	7.0000	12.0000	20.0000	37.0000	0.00009765
8933	97	1917.1	89.27	1.0000	2.0000	4.0000	8.0000	13.0000	23.0000	51.0000	0.00010755
9329	96	1969.7	93.23	0.0000	2.0000	5.0000	8.0000	13.0000	23.0000	39.0000	0.00006346
9742	94	2027.3	97.36	1.0000	2.0000	5.0000	8.0000	14.0000	24.0000	47.0000	0.00012069
10173	92	2085.1	101.67	0.0000	2.0000	5.0000	9.0000	14.0000	25.0000	42.0000	0.00013554
10624	91	2144.2	106.17	0.0000	2.0000	5.0000	9.0000	15.0000	25.0000	50.0000	0.00014863
11094	89	2202.9	110.87	1.0000	3.0000	6.0000	10.0000	16.0000	27.0000	53.0000	0.00014792
11585	87	2258.4	115.78	1.0000	3.0000	6.0000	10.0000	16.0000	27.0000	40.0000	0.00016795
12098	86	2324.4	120.90	1.0000	3.0000	6.0000	11.0000	17.0000	30.0000	52.0000	0.00014007
12634	84	2392.1	126.26	1.0000	3.0000	7.0000	11.0000	18.0000	30.0000	62.0000	0.00014433
13193	83	2455.9	131.85	1.0000	4.0000	7.0000	12.0000	19.0000	35.0000	76.0000	0.00014717
13777	81	2522.2	137.68	1.0000	4.0000	7.0000	12.0000	20.0000	35.0000	84.0000	0.00009790
14387	80	2599.1	143.78	2.0000	4.0000	8.0000	13.0000	21.0000	35.0000	65.0000	0.00013466
15024	78	2661.1	150.15	1.0000	5.0000	8.0000	13.0000	21.0000	38.0000	80.0000	0.00012044
15689	77	2730.2	156.79	2.0000	5.0000	8.0000	14.0000	22.0000	40.0000	226.0000	0.00009038
